0, 0, 92847235
0, 1000, 92844795
0, 2000, 92847123
0, 3000, 92845036
0, 3999, 92847763
0, 4999, 92844795
0, 5999, 92847222
0, 6998, 92845242
0, 7998, 92846816
0, 8998, 92844348
0, 9998, 92847171
0, 10997, 92845012
0, 11997, 92846482
0, 12997, 92844973
0, 13996, 92847299
0, 14996, 92844734
0, 15996, 92846856
0, 16995, 92844827
0, 17995, 92846694
0, 18995, 92844251
0, 19994, 92847260
0, 20994, 92845143
0, 21994, 92846720
0, 22993, 92844729
0, 23993, 92846732
0, 24993, 92844286
0, 25993, 92846057
0, 26992, 92844403
0, 27992, 92846640
0, 28992, 92844606
0, 29991, 92846161
0, 30991, 92843798
0, 31991, 92846706
0, 32990, 92844788
0, 33990, 92846630
0, 34990, 92844191
0, 35989, 92846216
0, 36989, 92844207
0, 37989, 92846317
0, 38989, 92844368
0, 39988, 92846733
0, 40988, 92843686
0, 41988, 92846159
0, 42987, 92844140
0, 43987, 92845953
0, 44987, 92843791
0, 45986, 92846291
0, 46986, 92845250
0, 47986, 92846504
0, 48986, 92844845
0, 49985, 92846887
0, 50985, 92844375
0, 51985, 92846628
0, 52984, 92844846
0, 53984, 92845960
0, 54984, 92844411
0, 55983, 92846539
0, 56983, 92844472
0, 57983, 92845808
0, 58983, 92844275
0, 59982, 92845965
0, 60982, 92844154
0, 61982, 92845763
0, 62981, 92845160
0, 63981, 92846445
0, 64981, 92845007
0, 65980, 92846226
0, 66980, 92844296
0, 67980, 92846548
0, 68980, 92844231
0, 69979, 92845832
0, 70979, 92844355
0, 71979, 92846260
0, 72978, 92844375
0, 73978, 92845900
0, 74978, 92844524
0, 75977, 92846187
0, 76977, 92843900
0, 77977, 92845864
0, 78976, 92844065
0, 79976, 92845323
0, 80976, 92844859
0, 81976, 92845488
0, 82975, 92844328
0, 83975, 92845260
0, 84975, 92844567
0, 85974, 92846210
0, 86974, 92844086
0, 87974, 92845471
0, 88973, 92844191
0, 89973, 92845170
0, 90973, 92844232
0, 91972, 92845117
0, 92972, 92844329
0, 93972, 92845905
0, 94972, 92844823
0, 95971, 92845152
0, 96971, 92844361
0, 97971, 92845640
0, 98970, 92844692
0, 99970, 92845790
0, 100970, 92845312
0, 101969, 92845844
0, 102969, 92844229
0, 103969, 92846289
0, 104968, 92845391
0, 105968, 92844587
0, 106968, 92844311
0, 107967, 92845321
0, 108967, 92844743
0, 109967, 92845072
0, 110967, 92845151
0, 111966, 92846155
0, 112966, 92844755
0, 113966, 92845559
0, 114965, 92845427
0, 115965, 92845598
0, 116965, 92845896
0, 117965, 92845814
0, 118964, 92844691
0, 119964, 92845749
0, 120964, 92845486
0, 121963, 92846046
0, 122963, 92844901
0, 123963, 92845785
0, 124962, 92845625
0, 125962, 92845448
0, 126962, 92844972
